This list is a work in progress. If you see something that falls outside of the parameters in the below table, it is not a bug, just report it to a wiki contributor please.

This table will be updated in the coming weeks and months as more bonuses are discovered. There are 53 in total.

Weapon Categories are:

CL = Clubbing
HA = Heavy Artillery
MG = Machine Gun
MK = Mechanical
PI = Piercing
PS = Pistol
RF = Rifle
SG = Shotgun
SL = Slashing
SM = Submachine Gun

Weapon Bonuses
Bonus	Weapons	Type	Information	Range
Achilles	PI, PS, RF, SG, SM	Buff	Increased Foot damage (%)	50 - 149%
Assassinate	PI, PS, RF	Buff	Increased damage (%) on the first turn	50 - 148%
Backstab	PI	Buff	Chance (%) of double damage when opponent is distracted	30- 96%
Berserk	SL	Buff / De-Buff	Increased Damage (%), Reduced Hit Chance (half%)	20 - 87%
Bleed	PI, SG, SL	DOT	Chance at "Bleed" DOT effect, with damage ticks starting at 45% that of the damage dealt when proc occurs, and reducing to zero over 9 turns.	20 - 67%
Blindside	SG	Buff	Increased damage (%) if target has full life	25 - 96%
Bloodlust	SL	Buff	Life regenerated by a (%) of damage dealt	10 - 17%
Comeback	SM	Buff	Increased damage (%) while under 1/4 life	50 - 127%
Conserve	MG, RF, SM	Buff	Increase (%) ammo conservation	25 - 49%
Cripple	HA, SG	Enemy Debuff	Chance (%) to Cripple opponent reducing Dexterity by 25% (x3)	20 - 58%
Crusher	CL	Buff	Increased Head damage (%)	50 - 133%
Cupid	PI, PS, RF, SG, SM	Buff	Increased Heart damage (%)	50 - 157%
Deadeye	PI, PS, RF, MG	Buff	Increased Critical hit damage (%)	25 - 123%
Deadly	SG	Buff	Chance of a "Deadly" hit (+500%[11] damage)	2 - 10%
Disarm	CL, PI, PS, RF, SL	Enemy Debuff	Disables opponents weapon for (X) turns upon hitting their hand or arm. Note: this will not work on the first turn of an attacking fight.	3 - 15
Double-edged	SL	Buff	Chance (%) of double damage at the cost of self injury	10 - 32%
Double Tap	PS	Buff	Chance at hitting twice in a single turn	15 - 54%
Empower	PI, CL, SL	Buff	Increased Strength while using the weapon (%)	50 - 206%
Eviscerate	PI, SG, SL	Enemy Debuff	Opponent receives extra damage (%) under this effect	15 - 34%
Execute	PS	Buff	Instant defeat a target upon a damaging hit when opponent is below (%) life	15 - 29%
Expose	PS, RF, SG, SL	Buff	Increased critical hit rate (%)	7 - 21%
Finale	HA	Buff	Increased damage (%) for every turn the weapon is not used	10 - 17%
Focus	RF	Buff	Hit Chance increase (%) for every successive miss	15 - 32%
Frenzy	CL, PI, SL	Buff	(%) Increase to Damage and Accuracy on each successive hit	5 - 14%
Fury	CL, PI, SL	Buff	Chance (%) of hitting twice in a single turn	10 - 34%
Grace	SL	Buff / De-Buff	Increased Hit Chance (%), Reduced Damage (half%)	20 - 66%
Home Run	CL	Buff	Chance (%) to deflect incoming temporary items	50 - 93%
Irradiate	PI	Enemy Debuff	Apply 1-3 hours [12] radiation poisoning when used for the finishing hit	100%
Motivation	CL, PS, SL, SM	Buff	Chance (%) to increase all stats by 10% (up to 5 of these may stack)	15 - 35%
Paralyzed	HA	Enemy Debuff	Adds 300 seconds ‘Paralyzed’ effect (50% chance of missing turns) [13]	5 - 18%
Parry	SL	Enemy Debuff	(%) Chance to block incoming melee attacks	50 - 92%
Penetrate	MG, PI, RF	Enemy Debuff	Ignores (%) of enemy armor mitigation	25 - 49%
Plunder	CL, PI, SL	Buff	Increase (%) to money mugged when used for finishing hit	20 - 49%
Powerful	CL, HA, RF, SM, SG	Buff	Increased Damage (%)	15 - 49%
Proficience	SM	Buff	Increase XP (%) gained when used for the finishing hit	20 - 59%
Puncture	MG, PI, RF	Buff	Chance (%) of ignoring armor	20 - 57%
Quicken	PS, SL, SM	Buff	Increased Speed while using the weapon (%)	50 - 219%
Rage	CL, PI, SL	Buff	Chance (%) at hitting 2-8 times in a single turn	4 - 18%
Revitalize	SM	Buff	Chance (%) of restoring the energy spent attacking, when used for the finishing hit	10 - 24%
Roshambo	CL	Buff	Increased Groin damage (%)	50 - 132%
Slow	CL, PI, SM	Enemy Debuff	Chance (%) to Slow opponent reducing Speed by 25% (x3)	20 - 64%
Smurf	MG	Buff	(%) damage increase for each level under an opponent	1% - 4%
Specialist	MG, PS, RF, SM, SG, HA	Buff	Increased Damage (%), weapon is limited to a single clip	20 - 59%
Stricken	HA	Buff	(%) Increased hospital time upon final hit	30% - 96%
Stun	CL, HA, SG	Enemy Debuff	Chance (%) to cause opponent to miss next turn	10 - 40%
Suppress	MG	Enemy Debuff	(%) chance to Suppress opponent causing 25% chance to miss future turns	25 - 49%
Sure Shot	RF	Buff	Chance (%) at a guaranteed hit	3 - 11%
Throttle	PS, RF, SG, SL, SM	Buff	Increased Throat damage (%)	50 - 170%
Warlord	HA, RF, SG, SM, MG	Buff	Increases respect gained (%)	15 - 38%
Weaken	PI, RF, SG, SL	Enemy Debuff	Chance (%) to Weaken opponent reducing Defense by 25% (x3)	20 - 63%
Wind-up	CL, PI, SL	Buff	Increased damage (%) after spending a turn to wind up the weapon	125 - 221%
Wither	PI, PS, SM	Enemy Debuff	Chance (%) to Wither opponent reducing Strength by 25% (x3)	20 - 63%
